"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","00703Bmash","00703C2mash","00703Dmash","0288E","101","1400E","1500E","284V","315-A","3549624","409-05","41V","5-1","55152","6119V5","6420B","75712","AMD","ATCC_14019","CMW7778B","DNF01149","DNF01162","FDAARGOS_568","GED7275B","GED7760B","GH015","GS_10234","GS_9838-1","GV37","HMP9231","JCP7275","JCP7276","JCP7659","JCP7672","JCP7719","JCP8017A","JCP8066","JCP8070","JCP8108","JCP8151A","JCP8151B","JCP8481A","JCP8522","KA00225","KA00735","N101","N144","N160","N165","N72","N95","NR010","NR038","NR039","PSS_7772B","UGent_06.41","UGent_09.07","UGent_09.48","UGent_18.01","UGent_21.28","UGent_25.49","UMB0032B","UMB0061","UMB0143","UMB0202","UMB0233","UMB0264","UMB0386","UMB0558","UMB0662","UMB0682","UMB0736","UMB0742","UMB0768","UMB0769","UMB0770","UMB0775","UMB0830","UMB0833","UMB0913","UMB1489","UMB1642","UMB1686","UMB1698","W11"
"miaA","","tRNA dimethylallyltransferase","84","84","1","1","2554","1","1667","","596","1064","996","00703Bmash_01113","00703C2mash_00307","00703Dmash_01113","0288E_01289","101_01149","1400E_00886","1500E_00446","284V_00437","315-A_00706","3549624_00602","409-05_01067","41V_00040","5-1_01130","55152_00728","6119V5_00750","6420B_00940","75712_01051","AMD_00045","ATCC_14019_00575","CMW7778B_00116","DNF01149_00230","DNF01162_00425","FDAARGOS_568_00762","GED7275B_00393","GED7760B_00112","GH015_00469","GS_10234_00146","GS_9838-1_00730","GV37_01210","HMP9231_00945","JCP7275_00997","JCP7276_01098","JCP7659_00712","JCP7672_01152","JCP7719_01157","JCP8017A_00320","JCP8066_00791","JCP8070_00566","JCP8108_00478","JCP8151A_00058","JCP8151B_01017","","JCP8522_00363","KA00225_00816","KA00735_00242","N101_00450","N144_00358","N160_00585","N165_00575","N72_00313","N95_00972","NR010_00459","NR038_00262","NR039_00921","PSS_7772B_00571","UGent_06.41_00792","UGent_09.07_00915","UGent_09.48_00941","UGent_18.01_00467","UGent_21.28_00461","UGent_25.49_00946","UMB0032B_00275","UMB0061_00275","UMB0143_00278","UMB0202_00740","UMB0233_00765","UMB0264_00999","UMB0386_00276","UMB0558_00483","UMB0662_00477","UMB0682_00137","UMB0736_00278","UMB0742_00209","UMB0768_00214","UMB0769_01015","UMB0770_00705","UMB0775_00664","UMB0830_00486","UMB0833_00406","UMB0913_00970","UMB1489_00954","UMB1642_00554","UMB1686_00122","UMB1698_00148","W11_00013"
"group_847","","hypothetical protein","84","84","1","1","1587","1","1248","","770","851","776","00703Bmash_00071","00703C2mash_00595","00703Dmash_00609","0288E_00387","101_00340","1400E_00730","1500E_00808","284V_00626","315-A_00177","3549624_00805","409-05_00449","41V_00636","5-1_00801","55152_01011","6119V5_00425","6420B_00224","75712_00459","AMD_00792","ATCC_14019_01160","CMW7778B_00128","DNF01149_01113","DNF01162_00916","FDAARGOS_568_01355","GED7275B_00357","GED7760B_00948","GH015_01185","GS_10234_00715","GS_9838-1_00832","GV37_00480","HMP9231_00344","JCP7275_00918","JCP7276_00617","JCP7659_00621","JCP7672_00630","JCP7719_01013","JCP8017A_01168","JCP8066_00132","JCP8070_01138","JCP8108_01250","JCP8151A_00858","JCP8151B_00825","JCP8481A_01074","JCP8522_00471","KA00225_00883","KA00735_00254","N101_00688","N144_01008","N160_00070","N165_00727","N72_00954","N95_00076","NR010_00856","","NR039_00583","PSS_7772B_00950","UGent_06.41_00222","UGent_09.07_00116","UGent_09.48_00455","UGent_18.01_01068","UGent_21.28_01100","UGent_25.49_00371","UMB0032B_00930","UMB0061_00574","UMB0143_01184","UMB0202_00108","UMB0233_00121","UMB0264_00465","UMB0386_00848","UMB0558_01094","UMB0662_01041","UMB0682_01128","UMB0736_00905","UMB0742_00707","UMB0768_00795","UMB0769_00472","UMB0770_00367","UMB0775_00373","UMB0830_01100","UMB0833_01069","UMB0913_00462","UMB1489_00458","UMB1642_01188","UMB1686_00648","UMB1698_00537","W11_00725"
"group_850","","hypothetical protein","84","84","1","1","1723","17","5","","254","338","266","00703Bmash_00201","00703C2mash_00472","00703Dmash_00550","0288E_00417","101_00280","1400E_00842","1500E_00868","284V_00394","315-A_00803","3549624_00646","409-05_00386","41V_00088","5-1_00711","55152_00772","6119V5_00855","6420B_00289","75712_01095","AMD_00856","ATCC_14019_00531","CMW7778B_01168","DNF01149_00186","DNF01162_00853","FDAARGOS_568_00665","GED7275B_00214","GED7760B_01129","GH015_00513","GS_10234_00781","GS_9838-1_00423","GV37_00415","HMP9231_00989","JCP7275_00809","JCP7276_01031","JCP7659_00950","JCP7672_01195","JCP7719_00811","JCP8017A_01114","JCP8066_00754","JCP8070_01103","JCP8108_00573","JCP8151A_00632","JCP8151B_00404","JCP8481A_00610","JCP8522_00964","KA00225_01017","KA00735_00187","N101_00808","N144_00888","N160_00011","N165_00619","N72_01018","N95_00196","NR010_00572","NR038_00315","NR039_00970","PSS_7772B_00232","UGent_06.41_00162","UGent_09.07_00871","UGent_09.48_00396","UGent_18.01_00952","UGent_21.28_00985","UGent_25.49_00990","UMB0032B_00231","UMB0061_00231","UMB0143_00234","UMB0202_00696","UMB0233_00721","UMB0264_00403","UMB0386_00232","UMB0558_00973","UMB0662_00597","","UMB0736_00233","UMB0742_00766","UMB0768_00170","UMB0769_00407","UMB0770_00661","UMB0775_00620","UMB0830_00979","UMB0833_00947","UMB0913_00400","UMB1489_00395","UMB1642_01125","UMB1686_00708","UMB1698_00602","W11_00602"
"ssuB","","Aliphatic sulfonates import ATP-binding protein SsuB","84","84","1","1","3500","1","3335","","734","875","768","00703Bmash_00289","00703C2mash_00641","00703Dmash_00778","0288E_01097","101_00557","1400E_00669","1500E_00616","284V_00138","315-A_00626","3549624_00484","409-05_00631","41V_00663","5-1_00064","55152_00595","6119V5_00296","6420B_00635","75712_00921","AMD_00219","ATCC_14019_00709","CMW7778B_00504","DNF01149_00354","DNF01162_01094","FDAARGOS_568_00888","GED7275B_00980","","GH015_00354","GS_10234_00511","GS_9838-1_01005","GV37_00729","HMP9231_00829","JCP7275_00095","JCP7276_00084","JCP7659_01076","JCP7672_00169","JCP7719_00118","JCP8017A_00467","JCP8066_00188","JCP8070_00090","JCP8108_00221","JCP8151A_00025","JCP8151B_00158","JCP8481A_01131","JCP8522_00747","KA00225_00087","KA00735_00616","N101_00605","N144_00485","N160_00230","N165_00435","N72_00754","N95_01113","NR010_00119","NR038_00127","NR039_00176","PSS_7772B_01054","UGent_06.41_00449","UGent_09.07_00560","UGent_09.48_00610","UGent_18.01_00607","UGent_21.28_00588","UGent_25.49_00817","UMB0032B_00402","UMB0061_00391","UMB0143_00391","UMB0202_00868","UMB0233_00882","UMB0264_00627","UMB0386_00404","UMB0558_00622","UMB0662_00132","UMB0682_00518","UMB0736_00470","UMB0742_00543","UMB0768_00342","UMB0769_00651","UMB0770_00844","UMB0775_00791","UMB0830_00621","UMB0833_00219","UMB0913_00621","UMB1489_00612","UMB1642_00148","UMB1686_00497","UMB1698_01119","W11_01023"
"group_873","","hypothetical protein","84","84","1","1","4672","1","1398","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","332","938","760","00703Bmash_00754","00703C2mash_01023","00703Dmash_00445","0288E_01209","101_01061","1400E_00497","1500E_01084","284V_00593","315-A_00276","3549624_01303","409-05_01261","41V_01292","5-1_01317","55152_01233","6119V5_00899","6420B_00027","75712_00039","AMD_01229","ATCC_14019_00246","CMW7778B_00805","DNF01149_01189","DNF01162_01227","FDAARGOS_568_00388","GED7275B_00539","GED7760B_00593","","GS_10234_01224","GS_9838-1_01213","GV37_01402","HMP9231_01267","JCP7275_00734","JCP7276_01211","JCP7659_00995","JCP7672_01008","JCP7719_01093","JCP8017A_01215","JCP8066_00378","JCP8070_00167","JCP8108_00428","JCP8151A_01062","JCP8151B_01149","JCP8481A_00266","JCP8522_01041","KA00225_01223","KA00735_00010","N101_01186","N144_01126","N160_00977","N165_01101","N72_00123","N95_01158","NR010_01222","NR038_01098","NR039_00325","PSS_7772B_00595","UGent_06.41_00977","UGent_09.07_01167","UGent_09.48_01111","UGent_18.01_01166","UGent_21.28_01215","UGent_25.49_01256","UMB0032B_01345","UMB0061_01233","UMB0143_01213","UMB0202_01220","UMB0233_01258","UMB0264_01177","UMB0386_01282","UMB0558_01209","UMB0662_01115","UMB0682_01178","UMB0736_01336","UMB0742_00026","UMB0768_01280","UMB0769_01200","UMB0770_01237","UMB0775_01345","UMB0830_01218","UMB0833_01257","UMB0913_01151","UMB1489_01134","UMB1642_01282","UMB1686_01129","UMB1698_01236","W11_01197"
"nusG","","Transcription termination/antitermination protein NusG","84","84","1","1","1164","1","2800","","800","962","861","00703Bmash_00028","00703C2mash_00749","00703Dmash_00064","0288E_01337","101_00089","1400E_00545","1500E_00776","284V_00187","315-A_01010","3549624_01116","409-05_01187","41V_00274","5-1_01249","55152_00534","6119V5_00003","6420B_00855","75712_01300","AMD_00546","ATCC_14019_00322","CMW7778B_00939","DNF01149_01050","DNF01162_00741","FDAARGOS_568_00460","GED7275B_00488","GED7760B_00241","GH015_01073","GS_10234_00028","GS_9838-1_01114","GV37_01332","HMP9231_01194","","JCP7276_00214","JCP7659_00274","JCP7672_00601","JCP7719_01024","JCP8017A_00223","JCP8066_00314","JCP8070_00338","JCP8108_00937","JCP8151A_00445","JCP8151B_00350","JCP8481A_00198","JCP8522_00138","KA00225_00656","KA00735_01078","N101_00643","N144_01053","N160_00907","N165_01173","N72_00193","N95_00032","NR010_00961","NR038_00017","NR039_00095","PSS_7772B_01158","UGent_06.41_00903","UGent_09.07_00667","UGent_09.48_01059","UGent_18.01_01113","UGent_21.28_01146","UGent_25.49_01194","UMB0032B_00026","UMB0061_00027","UMB0143_00028","UMB0202_00491","UMB0233_00516","UMB0264_01116","UMB0386_00027","UMB0558_01137","UMB0662_01146","UMB0682_00026","UMB0736_00028","UMB0742_00099","UMB0768_01202","UMB0769_01138","UMB0770_01283","UMB0775_00415","UMB0830_01143","UMB0833_01114","UMB0913_01081","UMB1489_01063","UMB1642_00674","UMB1686_00028","UMB1698_00029","W11_00769"
"group_904","","hypothetical protein","84","84","1","1","1693","1","1653","","269","4151","4004","00703Bmash_00216","00703C2mash_00487","00703Dmash_00661","0288E_00432","101_00486","1400E_00825","1500E_00676","284V_00379","315-A_00818","3549624_00661","409-05_00555","41V_00935","5-1_00276","55152_00801","6119V5_00224","6420B_01126","75712_01110","AMD_00292","ATCC_14019_00515","CMW7778B_00555","DNF01149_00171","DNF01162_01015","FDAARGOS_568_00650","GED7275B_00229","GED7760B_01113","GH015_00528","GS_10234_00592","GS_9838-1_00925","GV37_00657","HMP9231_01004","JCP7275_00881","JCP7276_01304","JCP7659_00135","JCP7672_00760","JCP7719_00531","JCP8017A_00004","JCP8066_00738","JCP8070_01042","JCP8108_01092","JCP8151A_01137","JCP8151B_00388","JCP8481A_00645","JCP8522_00533","KA00225_00819","KA00735_00667","N101_00793","N144_00903","N160_00155","N165_00636","N72_00834","N95_00181","NR010_00034","NR038_00337","","PSS_7772B_00483","UGent_06.41_00375","UGent_09.07_00856","UGent_09.48_00536","UGent_18.01_00968","UGent_21.28_01001","UGent_25.49_01005","UMB0032B_00216","UMB0061_00216","UMB0143_00219","UMB0202_00681","UMB0233_00706","UMB0264_00546","UMB0386_00217","UMB0558_00988","UMB0662_00059","UMB0682_00591","UMB0736_00218","UMB0742_00617","UMB0768_00155","UMB0769_00578","UMB0770_00646","UMB0775_00605","UMB0830_00994","UMB0833_00962","UMB0913_00549","UMB1489_00539","UMB1642_00067","UMB1686_00567","UMB1698_01041","W11_00617"
"group_912","","hypothetical protein","84","84","1","1","1106","1","733","","1064","1400","1238","00703Bmash_00003","00703C2mash_00777","00703Dmash_00085","0288E_01162","101_00066","1400E_00981","1500E_01010","284V_01297","315-A_00678","3549624_01092","409-05_01211","","5-1_01273","55152_00509","6119V5_00026","6420B_00834","75712_01325","AMD_00524","ATCC_14019_00299","CMW7778B_00961","DNF01149_01027","DNF01162_00715","FDAARGOS_568_00437","GED7275B_00008","GED7760B_00262","GH015_01051","GS_10234_00004","GS_9838-1_01090","GV37_01356","HMP9231_01217","JCP7275_00914","JCP7276_00985","JCP7659_00595","JCP7672_00667","JCP7719_01054","JCP8017A_00204","JCP8066_00635","JCP8070_00410","JCP8108_01337","JCP8151A_00799","JCP8151B_00536","JCP8481A_01227","JCP8522_00496","KA00225_00733","KA00735_01048","N101_00618","N144_01082","N160_00930","N165_01147","N72_00169","N95_00004","NR010_00941","NR038_00501","NR039_00379","PSS_7772B_01135","UGent_06.41_00925","UGent_09.07_00644","UGent_09.48_01081","UGent_18.01_01135","UGent_21.28_01171","UGent_25.49_01217","UMB0032B_00003","UMB0061_00004","UMB0143_00003","UMB0202_00466","UMB0233_00493","UMB0264_01142","UMB0386_00004","UMB0558_01163","UMB0662_01168","UMB0682_00005","UMB0736_00003","UMB0742_00078","UMB0768_01180","UMB0769_01162","UMB0770_00480","UMB0775_00387","UMB0830_01169","UMB0833_01141","UMB0913_01102","UMB1489_01085","UMB1642_00700","UMB1686_00004","UMB1698_00003","W11_00796"
"gsiB_2","","Glutathione-binding protein GsiB","84","84","1","1","3783","70","2","","1682","1739","1694","00703Bmash_00377","00703C2mash_00979","00703Dmash_01070","0288E_00918","101_00053","1400E_01353","1500E_00191","284V_00851","315-A_00428","3549624_00123","409-05_01033","41V_01264","5-1_01094","55152_00353","6119V5_01162","6420B_00908","75712_00716","AMD_00643","ATCC_14019_00911","CMW7778B_00534","DNF01149_00543","DNF01162_00461","FDAARGOS_568_01095","GED7275B_01192","GED7760B_00488","GH015_00149","GS_10234_00181","GS_9838-1_00694","GV37_01123","HMP9231_00634","JCP7275_00549","JCP7276_00269","JCP7659_00738","JCP7672_00683","JCP7719_00718","JCP8017A_01229","JCP8066_00497","JCP8070_00685","JCP8108_00668","JCP8151A_01093","JCP8151B_00286","JCP8481A_01157","JCP8522_01075","KA00225_00016","KA00735_00645","N101_00948","N144_00705","N160_00522","N165_00231","N72_00400","N95_00335","NR010_00426","NR038_00767","","PSS_7772B_00293","UGent_06.41_00759","UGent_09.07_00344","UGent_09.48_00910","UGent_18.01_00816","UGent_21.28_00805","UGent_25.49_00608","UMB0032B_00622","UMB0061_01076","UMB0143_00591","UMB0202_01078","UMB0233_01103","UMB0264_00965","UMB0386_00610","UMB0558_00827","UMB0662_00442","UMB0682_00214","UMB0736_00670","UMB0742_00239","UMB0768_00563","UMB0769_00980","UMB0770_01057","UMB0775_00998","UMB0830_00830","UMB0833_00007","UMB0913_00939","UMB1489_00923","UMB1642_00517","UMB1686_00203","UMB1698_00184","W11_00805"
"group_934","","hypothetical protein","84","84","1","1","4471","2","27","","368","479","441","00703Bmash_00673","00703C2mash_00152","00703Dmash_00129","0288E_00270","101_00828","1400E_00105","1500E_00126","284V_00973","315-A_01218","3549624_01248","409-05_00022","41V_00900","5-1_00346","55152_00070","6119V5_00627","6420B_01069","75712_00140","AMD_00600","ATCC_14019_00152","CMW7778B_00752","DNF01149_00758","DNF01162_00045","FDAARGOS_568_00292","GED7275B_00610","GED7760B_00714","GH015_00914","GS_10234_01146","GS_9838-1_00043","GV37_00021","HMP9231_00025","JCP7275_00722","","JCP7659_01169","JCP7672_00418","JCP7719_00227","JCP8017A_01325","JCP8066_00044","JCP8070_00731","JCP8108_00925","JCP8151A_00340","JCP8151B_01233","JCP8481A_00031","JCP8522_00701","KA00225_00409","KA00735_00866","N101_00046","N144_01208","N160_01055","N165_01015","N72_00044","N95_00833","NR010_01024","NR038_01415","NR039_01223","PSS_7772B_00098","UGent_06.41_01046","UGent_09.07_01207","UGent_09.48_00040","UGent_18.01_00048","UGent_21.28_00045","UGent_25.49_00053","UMB0032B_01245","UMB0061_00883","UMB0143_00854","UMB0202_00409","UMB0233_00441","UMB0264_00045","UMB0386_01181","UMB0558_00047","UMB0662_00871","UMB0682_00709","UMB0736_01241","UMB0742_01115","UMB0768_01118","UMB0769_00042","UMB0770_00049","UMB0775_00052","UMB0830_00047","UMB0833_00493","UMB0913_00040","UMB1489_00040","UMB1642_00751","UMB1686_01060","UMB1698_00970","W11_00428"
"rimM","","Ribosome maturation factor RimM","84","84","1","1","851","1","1460","","590","641","606","00703Bmash_01038","00703C2mash_00385","00703Dmash_01123","0288E_00724","101_01159","1400E_01020","1500E_00436","284V_00823","315-A_01106","3549624_00395","409-05_00319","41V_00353","5-1_00644","55152_00473","6119V5_00760","6420B_00360","75712_00494","AMD_00923","ATCC_14019_01121","CMW7778B_00076","DNF01149_01237","DNF01162_00786","FDAARGOS_568_01317","GED7275B_00442","GED7760B_00637","GH015_01223","GS_10234_00848","GS_9838-1_00355","GV37_00348","HMP9231_00383","JCP7275_00748","JCP7276_00708","JCP7659_00551","JCP7672_00033","JCP7719_00726","JCP8017A_00574","JCP8066_00687","JCP8070_00499","JCP8108_00998","JCP8151A_00626","JCP8151B_00340","JCP8481A_00379","JCP8522_00211","KA00225_00975","KA00735_00202","N101_00374","N144_00272","N160_00575","N165_01310","N72_01085","N95_00898","NR010_00592","","NR039_00452","PSS_7772B_00391","UGent_06.41_00094","UGent_09.07_00154","UGent_09.48_00329","UGent_18.01_00391","UGent_21.28_00388","UGent_25.49_00410","UMB0032B_00891","UMB0061_00536","UMB0143_00788","UMB0202_00068","UMB0233_00087","UMB0264_00335","UMB0386_00809","UMB0558_00405","UMB0662_00664","UMB0682_00998","UMB0736_00866","UMB0742_00833","UMB0768_00756","UMB0769_00340","UMB0770_00406","UMB0775_01160","UMB0830_00408","UMB0833_01183","UMB0913_00325","UMB1489_00328","UMB1642_01058","UMB1686_00144","UMB1698_00669","W11_00087"
"ykoD_1","","Putative HMP/thiamine import ATP-binding protein YkoD","84","84","1","1","1754","1","381","","254","2003","1850","00703Bmash_00184","00703C2mash_00455","00703Dmash_00741","0288E_00398","101_00519","1400E_00860","1500E_00579","284V_00412","315-A_00785","3549624_00627","409-05_00587","41V_00070","5-1_00011","55152_00754","6119V5_00257","6420B_00596","75712_01076","AMD_00258","ATCC_14019_00550","CMW7778B_00176","DNF01149_00205","DNF01162_01046","FDAARGOS_568_00684","GED7275B_00197","GED7760B_01145","GH015_00494","GS_10234_00559","GS_9838-1_00957","GV37_00689","HMP9231_00970","JCP7275_00972","JCP7276_01012","JCP7659_00521","JCP7672_01176","JCP7719_00794","JCP8017A_00987","JCP8066_00545","JCP8070_00378","JCP8108_00555","JCP8151A_00486","JCP8151B_01190","JCP8481A_00156","JCP8522_00519","KA00225_01253","KA00735_00329","N101_00825","N144_00871","N160_00190","N165_00600","N72_00802","N95_00213","NR010_00073","","NR039_00948","PSS_7772B_00518","UGent_06.41_00409","UGent_09.07_00890","UGent_09.48_00570","UGent_18.01_00935","UGent_21.28_00968","UGent_25.49_00971","UMB0032B_00250","UMB0061_00250","UMB0143_00253","UMB0202_00715","UMB0233_00740","UMB0264_00579","UMB0386_00251","UMB0558_00956","UMB0662_00093","UMB0682_00557","UMB0736_00252","UMB0742_00583","UMB0768_00189","UMB0769_00611","UMB0770_00680","UMB0775_00639","UMB0830_00962","UMB0833_00930","UMB0913_00582","UMB1489_00573","UMB1642_00099","UMB1686_00534","UMB1698_01072","W11_00585"
"rsmI","","Ribosomal RNA small subunit methyltransferase I","83","83","1","1","4728","1","1001","","362","980","868","00703Bmash_01232","00703C2mash_00025","00703Dmash_00417","0288E_01237","101_01088","1400E_00470","1500E_01056","284V_00541","315-A_00298","3549624_01358","409-05_01230","41V_00294","5-1_01289","55152_01259","6119V5_00926","6420B_00058","75712_00066","AMD_01202","ATCC_14019_00274","CMW7778B_00780","DNF01149_01160","DNF01162_01254","FDAARGOS_568_00414","","GED7760B_01019","GH015_00989","GS_10234_01255","GS_9838-1_01240","GV37_01375","HMP9231_01240","JCP7275_00741","JCP7276_00199","JCP7659_00560","JCP7672_01216","JCP7719_00990","JCP8017A_00874","JCP8066_00559","JCP8070_00719","JCP8108_00857","JCP8151A_00073","JCP8151B_00042","JCP8481A_00688","JCP8522_00920","KA00225_01179","KA00735_00061","N101_01161","N144_01102","N160_00950","N165_01127","N72_00150","N95_01183","NR010_00921","","NR039_00421","PSS_7772B_00041","UGent_06.41_00946","UGent_09.07_01139","UGent_09.48_01142","UGent_18.01_01188","UGent_21.28_01191","UGent_25.49_01282","UMB0032B_01318","UMB0061_01209","UMB0143_01273","UMB0202_01276","UMB0233_01236","UMB0264_01204","UMB0386_01254","UMB0558_01184","UMB0662_01084","UMB0682_01209","UMB0736_01308","UMB0742_00057","UMB0768_01254","UMB0769_01231","UMB0770_01211","UMB0775_01372","UMB0830_01192","UMB0833_01232","UMB0913_01120","UMB1489_01103","UMB1642_01255","UMB1686_01156","UMB1698_01263","W11_01223"
"group_102","","hypothetical protein","83","83","1","1","4242","1","2613","","731","1085","1014","00703Bmash_00826","00703C2mash_01225","00703Dmash_00256","0288E_00117","101_00953","1400E_00658","1500E_01225","284V_01114","315-A_00007","3549624_00994","409-05_00153","41V_00215","5-1_00480","55152_01029","6119V5_00208","6420B_00523","75712_00269","AMD_01094","ATCC_14019_01345","","DNF01149_00892","DNF01162_00180","FDAARGOS_568_00157","GED7275B_00733","GED7760B_00834","GH015_00776","GS_10234_01012","GS_9838-1_00175","GV37_00183","HMP9231_00147","JCP7275_01231","JCP7276_00791","JCP7659_01235","JCP7672_00610","JCP7719_00915","JCP8017A_01251","JCP8066_01190","JCP8070_00616","JCP8108_00134","JCP8151A_01164","JCP8151B_00907","JCP8481A_00968","JCP8522_00012","KA00225_00535","","N101_00168","N144_00046","N160_00892","N165_00880","N72_01256","N95_00694","NR010_00670","NR038_01267","NR039_01364","PSS_7772B_00759","UGent_06.41_01169","UGent_09.07_01053","UGent_09.48_00162","UGent_18.01_00174","UGent_21.28_00173","UGent_25.49_00193","UMB0032B_01116","UMB0061_00748","UMB0143_00993","UMB0202_00273","UMB0233_00305","UMB0264_00170","UMB0386_01042","UMB0558_00176","UMB0662_00997","UMB0682_00832","UMB0736_01098","UMB0742_00993","UMB0768_00975","UMB0769_00175","UMB0770_00179","UMB0775_00190","UMB0830_00178","UMB0833_00620","UMB0913_00161","UMB1489_00164","UMB1642_00887","UMB1686_00931","UMB1698_00839","W11_00304"
"group_1020","","Putative multidrug export ATP-binding/permease protein","83","83","1","1","4741","1","1443","","1370","1841","1811","00703Bmash_01241","00703C2mash_00015","00703Dmash_00408","0288E_01246","101_01097","1400E_00461","1500E_01046","284V_00532","315-A_00307","3549624_01367","409-05_01221","41V_00579","5-1_01280","55152_01268","6119V5_00935","6420B_00067","75712_00075","AMD_01193","ATCC_14019_00283","CMW7778B_00789","DNF01149_01151","DNF01162_01263","FDAARGOS_568_00423","GED7275B_00068","GED7760B_01028","GH015_00998","GS_10234_01264","GS_9838-1_01249","GV37_01366","HMP9231_01231","JCP7275_00363","JCP7276_00866","","JCP7672_00967","JCP7719_00981","JCP8017A_00865","JCP8066_00550","JCP8070_00710","JCP8108_00848","JCP8151A_01043","JCP8151B_00849","JCP8481A_00142","JCP8522_00929","KA00225_01188","KA00735_00071","N101_01152","N144_01093","N160_00941","N165_01136","N72_00159","N95_01192","NR010_00930","NR038_01051","","PSS_7772B_01113","UGent_06.41_00937","UGent_09.07_01130","UGent_09.48_01151","UGent_18.01_01197","UGent_21.28_01182","UGent_25.49_01291","UMB0032B_01309","UMB0061_01200","UMB0143_01282","UMB0202_01267","UMB0233_01227","UMB0264_01213","UMB0386_01245","UMB0558_01175","UMB0662_01075","UMB0682_01218","UMB0736_01299","UMB0742_00066","UMB0768_01245","UMB0769_01240","UMB0770_01202","UMB0775_01381","UMB0830_01183","UMB0833_01223","UMB0913_01111","UMB1489_01094","UMB1642_01246","UMB1686_01165","UMB1698_01272","W11_01232"
"group_1067","","hypothetical protein","83","83","1","1","4316","3","18","","272","719","624","00703Bmash_00595","00703C2mash_00075","00703Dmash_00225","0288E_00165","101_00922","1400E_00204","1500E_00029","284V_01080","315-A_01300","3549624_01029","409-05_00122","41V_00475","5-1_00442","55152_00172","6119V5_00527","6420B_00555","75712_00239","AMD_01128","ATCC_14019_00048","","DNF01149_00863","DNF01162_00141","FDAARGOS_568_00191","GED7275B_00685","GED7760B_00786","GH015_00810","GS_10234_01050","GS_9838-1_00137","GV37_00145","HMP9231_01291","JCP7275_01066","JCP7276_00448","JCP7659_00502","JCP7672_01111","JCP7719_00519","JCP8017A_00743","JCP8066_00463","JCP8070_01072","JCP8108_00173","JCP8151A_01193","JCP8151B_00862","JCP8481A_00812","JCP8522_01137","KA00225_00557","","N101_00121","N144_01281","N160_01149","N165_00918","N72_01295","N95_00744","NR010_00636","NR038_01306","NR039_01332","PSS_7772B_00205","UGent_06.41_01138","UGent_09.07_01019","UGent_09.48_00131","UGent_18.01_00125","UGent_21.28_00123","UGent_25.49_00159","UMB0032B_01145","UMB0061_00782","UMB0143_00959","UMB0202_00307","UMB0233_00339","UMB0264_00140","UMB0386_01076","UMB0558_00126","UMB0662_00963","UMB0682_00801","UMB0736_01136","UMB0742_01024","UMB0768_01013","UMB0769_00137","UMB0770_00150","UMB0775_00156","UMB0830_00126","UMB0833_00571","UMB0913_00131","UMB1489_00132","UMB1642_00849","UMB1686_00962","UMB1698_00877","W11_00351"
"ptpA","","putative low molecular weight protein-tyrosine-phosphatase","83","83","1","1","1732","1","3324","","545","554","546","00703Bmash_00193","00703C2mash_00464","00703Dmash_00558","0288E_00408","101_00288","1400E_00850","1500E_00860","284V_00402","315-A_00794","3549624_00637","409-05_00394","41V_00080","5-1_00719","55152_00764","6119V5_00864","6420B_00281","75712_01086","AMD_00848","ATCC_14019_00540","CMW7778B_01162","DNF01149_00195","DNF01162_00861","FDAARGOS_568_00674","GED7275B_00206","GED7760B_01137","GH015_00504","GS_10234_00773","GS_9838-1_00431","GV37_00423","HMP9231_00980","JCP7275_00817","JCP7276_01022","JCP7659_00958","JCP7672_01186","JCP7719_00803","JCP8017A_01122","JCP8066_00762","JCP8070_01111","JCP8108_00565","JCP8151A_00640","JCP8151B_00412","","JCP8522_00972","KA00225_01025","KA00735_01200","N101_00816","N144_00880","N160_00019","N165_00610","N72_01010","N95_00204","NR010_00564","NR038_00306","NR039_00962","","UGent_06.41_00170","UGent_09.07_00880","UGent_09.48_00404","UGent_18.01_00944","UGent_21.28_00977","UGent_25.49_00981","UMB0032B_00240","UMB0061_00240","UMB0143_00243","UMB0202_00705","UMB0233_00730","UMB0264_00411","UMB0386_00241","UMB0558_00965","UMB0662_00589","UMB0682_01073","UMB0736_00242","UMB0742_00758","UMB0768_00179","UMB0769_00415","UMB0770_00670","UMB0775_00629","UMB0830_00971","UMB0833_00939","UMB0913_00408","UMB1489_00403","UMB1642_01133","UMB1686_00700","UMB1698_00594","W11_00594"
